,col1
717," Next year, Almeida avenged his defeat by totally crushing the two navies"
718, Almeida's vision was to make the Portuguese the master of the Indian Ocean
719, His policy was known as the Blue Water Policy (cartaze system)
720, View As long as you may be powerful at sea you will hold India as yours
721," and if you do not possess this power, little will avail you a fortress on shore"
722," Francisco De Almeida   A Brief History of Modern India  Alfonso de Albuquerque Albuquerque, who succeeded Almeida as the Portuguese governor in India, was the real founder of the Portuguese power in the East, a task he completed before his death"
723, He secured for Portugal the strategic control of the Indian Ocean by establishing bases overlooking all the entrances to the sea
724," There were Portuguese strongholds in East Africa, off the Red Sea, at Ormuz"
725," The Portuguese, under Albuquerque bolstered their stranglehold by introducing a permit system for other ships and exercising control over the major shipbuilding centres in the region"
726, The nonavailability of timber in the Gulf and Red Sea regions for shipbuilding also helped the Portuguese in their objectives
727, Albuquerque acquired Goa from the Sultan of Bijapur in 1510 with ease
728, the principal port of the Sultan of Bijapur became 'the first bit of Indian territory to be under the Europeans since the time of Alexander the Great'
729, An interesting feature of his rule was the abolition of sati
730," The Portuguese men who had come on the voyages and stayed back in India were, from Albuquerque's day, encouraged to take local wives"
731," In Goa and the Province of the North they established themselves as village landlords, often building new roads and irrigation works, introducing new crops like tobacco and cashew nut, or better plantation varieties of coconut besides planting large groves of coconut to meet the need for coir rigging and cordage"
732," In the cities, such as Goa and Cochin, they settled as artisans and mastercraftsmen, besides being traders"
733," Most of such Portuguese came to look upon their new settlements, rather than Portugal, as home"
734, View Bitter persecution of Muslims was one serious drawback of Albuquerque's policy
735, This could have been due to his resolve to further the interests of his countrymen by complete extinction of Muslim commercial interests in the East
736," During his rule, Albuquerque did his best to strengthen the fortifications of Goa and enhance its commercial importance"
737, In order to secure a permanent Portuguese population in India he encouraged his men to take Indian wives
738, II)      Advent of the Europeans in India    31  Nino da Cunha Nino da Cunha assumed office of the governor of Portuguese interests in India in November 1529 and almost one year later shifted the headquarters of the Portuguese government in India from Cochin to Goa
739," Bahadur Shah of Gujarat, during his conflict with the Mughal emperor Humayun, secured help from the Portuguese by ceding to them in 1534 the island of Bassein with its dependencies and revenues"
740, He also promised them a base in Diu
741," However, Bahadur Shah's relations with the Portuguese became sour when Humayun withdrew from Gujarat in 1536"
742," Since the inhabitants of the town started fighting with the Portuguese, Bahadur Shah wanted to raise a wall of partition"
743," Opposing this, the Portuguese started negotiations, in the course of which the ruler of Gujarat was invited to a Portuguese ship and killed in 1537"
744, Da Cunha also attempted to increase Portuguese influence in Bengal by settling many Portuguese nationals there with Hooghly as their headquarters
745,"  Favourable Conditions for Portuguese In India, excepting Gujarat, ruled by the powerful Mahmud Begarha (14581511), the northern part was much divided among many small powers"
746," In the Deccan, the Bahmani Kingdom was breaking up into smaller kingdoms"
747," None of the powers had a navy worth its name, nor did they think of developing their naval strength"
748," In the Far East, the imperial decree of the Chinese emperor limited the navigational reach of the Chinese ships"
749," As regards the Arab merchants and shipowners who until then dominated the Indian Ocean trade, they had nothing to match the organisation and unity of the Portuguese"
750," Moreover, the Portuguese had cannons placed on their ships"
751,  Portuguese State The general tendency is to underestimate the Portuguese hold in India
752," However, the Estado PortuguÃªs da India (State of the Portuguese India) was in fact a larger element in Indian history than it is given credit for"
753, A Brief History of Modern India  of India had come under Portuguese power within fifty years of Vasco da Gama's arrival
754, The Portuguese had occupied some sixty miles of coast around Goa
755," On the west coast from Mumbai to Daman and Diu to the approaches to Gujarat, they controlled a narrow tract with four important ports and hundreds of towns and villages"
756," In the south, they had under them a chain of seaport fortresses and tradingposts like Mangalore, Cannanore, Cochin, and Calicut"
757," And though their power in Malabar was not consolidated, it was enough to ensure influence or control over the local rulers who held the spice growing land"
758, The Portuguese established further military posts and settlements on the east coast at San Thome (in Chennai) and Nagapatnam (in Andhra)
759," Towards the end of the sixteenth century, a wealthy settlement had grown at Hooghly in West Bengal"
760, Envoys and ambassadors were exchanged between Goa and many of the major kingdoms in India of the time
761, Treaties were signed between Goa and the Deccan sultans in 1570 which were regularly renewed as long as their kingdoms lasted
762," The Portuguese always had a role to play in the successive battles for the balance of power between Vijayanagara and the Deccan sultans, between the Deccanis and the Mughals, and between the Mughals and the Marathas"
763," Interestingly, the Portuguese, the first Europeans to come to India, were also the last to leave this land"
764," It was 1961 before the Government of India recaptured Goa, Daman and Diu from them"
765,"  Portuguese Administration in India The head of the administration was the viceroy who served for three years, with his secretary and, in later years, a council"
766," Next in importance came the Vedor da Fazenda, responsible for revenues and the cargoes and dispatch of fleets"
767," The fortresses, from Africa to China, were under captains, assisted by'factors', whose power was increased by the difficulties of communication and was too often used for personal ends"
768,      Advent of the Europeans in India    33  Religious Policy of the Portuguese The Moors were the bitter enemies of the Portuguese in North Africa
769," Arriving in the East, the Portuguese brought with them the same zeal to promote Christianity and the wish to persecute all Muslims"
770," Intolerant towards the Muslims, the Portuguese were initially quite tolerant towards the Hindus"
771," However, over time, after the introduction of the Inquisition in Goa, there was a change and Hindus were also persecuted"
772," But, in spite of this intolerant behaviour, the Jesuits made a good impression at the court of Akbar, mainly due to the Mughal emperor's interest in questions of theology"
773," In September 1579, Akbar forwarded a letter to the authorities at Goa requesting them to send two learned priests"
774," The Church authorities in Goa eagerly accepted the invitation, seeing in it a chance to convert the emperor to Christianity, and with him his court and the people"
775," Jesuit fathers, Rodolfo Aquaviva and Antonio Monserrate were selected for the purpose"
776," When they reached Fatehpur Sikri on February 28, 1580, they were received with honour"
777," Aquaviva and Monserrate went back in 1583, belying the hopes the Portuguese entertained of Akbar's conversion to the Christian faith"
778, The second mission called by Akbar in 1590 also ended on a similar note in 1592
779," The third mission, again invited by Akbar, arrived in 1595 at Lahore (where the court was then residing) and continued as a sort of permanent institution, thereby extending its influence on secular politics"
780," Fathers Jerome Xavier and Emanuel Pinheiro were the leaders of the mission, and their letters from the court became very widely known for the information they provided on the latter part of Akbar's reign"
781," Prince Salim, on ascending the throne as Jahangir, assuaged the Muslims by neglecting the Jesuit fathers"
782," Gradually, however, his temporary estrangement from the Jesuits ended, and in 1606 he again renewed his favours to them"
783, The elegant and spacious church at Lahore was allowed to be retained by them along with the collegium or the    34      A Brief History of Modern India  priests' residence
784," In 1608, twenty baptisms were carried out in Agra, the priests publicly acting with as much liberty as in Portugal"
785, Jahangir's conduct was such that the Jesuit priests became hopeful of bringing him within the Christian fold
786," However, these hopes were belied"
787," Moreover, arrogant actions on the part of the Portuguese viceroys created a rift with the Mughal emperor"
788,"  Portuguese Lose Favour with the Mughals In 1608, Captain William Hawkins with his ship Hector reached Surat"
789," He brought with him a letter from James I, King of England, to the Mughal court of Jahangir requesting permission to do business in India"
790," Father Pinheiro and the Portuguese authorities did their best to prevent Hawkins from reaching the Mughal court, but did not succeed"
791, Jahangir accepted the gifts Hawkins brought for him and gave Hawkins a very favourable reception in 1609
792," As Hawkins knew the Turki language well, he conversed with the emperor in that language without the aid of an interpreter"
793," Pleased with Hawkins, Jahangir appointed him as a mansabdar of 400 at a salary of Rs 30,000 (apparently, he never received it)"
794, Hawkins was also married to the daughter of an Armenian Christian named Mubarak Shah (Mubarikesha)
795, The grant of trading facilities to the English offended the Portuguese
796," However, after negotiations, a truce was established between the Portuguese and the Mughal emperor"
797, The Portuguese stopped the English ships from entering the port of Surat
798," A baffled Hawkins left the Mughal court in 1611, unable to counter the Portuguese intrigues or check the vacillating Mughal policies"
799," However, in November 1612, the English ship Dragon under Captain Best along with a little ship, the Osiander, successfully fought a Portuguese fleet"
800," Jahangir, who had no navy worth its name, learnt of the English success and was greatly impressed"
801,      Advent of the Europeans in India    35  The Portuguese acts of piracy also resulted in conflict with the imperial Mughal government
802," In 1613, the Portuguese offended Jehangir by capturing Mughal ships, imprisoning many Muslims, and plundering the cargoes"
803," An enraged Jahangir ordered Muqarrab Khan, who was the then in charge of Surat, to obtain compensation"
804," However, it was during the reign of Shah Jahan, that the advantages which the Portuguese enjoyed in the Mughal court were lost forever"
805," Also lost were the hopes of converting the royal family and Mughal India to Christianity, a hope that the Portuguese held because of the welcome accorded to them and their religion by Akbar and Jahangir"
806,"  Capture of Hooghly On the basis of an imperial farman circa 1579, the Portuguese had settled down on a river bank which was a short distance from Satgaon in Bengal to carry on their trading activities"
807," Over the years, they strengthened their position by constructing big buildings which led to the migration of the trade from Satgaon to the new port known as Hooghly"
808," They monopolised the manufacture of salt, built a custom house of their own and started enforcing strictly the levy of duty on tobacco, which had become an important article of trade since its introduction at the beginning of the 17th century"
809," The Portuguese not only made money as traders but also started a cruel slave trade by purchasing or seizing Hindu and Muslim children, whom they brought up as Christians"
810," In the course of their nefarious activities, they seized two slave girls of Mumtaz Mahal"
811," On June 24, 1632, the siege of Hooghly began, ending in its capture three months later"
812, Shah Jahan ordered the Bengal governor Qasim Khan to take action against the Portuguese
813, A siege of Hooghly finally led to the Portuguese fleeing
814," The Mughals suffered a loss of 1,000 men, but also took 400 prisoners to Agra"
815, The prisoners were offered the option to convert to Islam or become slaves
816, The persecution of Christians continued for some time after which it died down gradually
817,"    A Brief History of Modern India  Decline of the Portuguese By the 18th century, the Portuguese in India lost their commercial influence, though some of them still carried on trade in their individual capacity and many took to piracy and robbery"
818," In fact, Hooghly was used by some Portuguese as a base for piracy in the Bay of Bengal"
819, The decline of the Portuguese was brought about by several factors
820," The local advantages gained by the Portuguese in India were reduced with the emergence of powerful dynasties in Egypt, Persia and North India and the rise of the turbulent Marathas as their immediate neighbours"
821, The Marathas captured Salsette and Bassein in 1739 from the Portuguese
822," The religious policies of the Portuguese, such as the activities of the Jesuits, gave rise to political fears"
823," Their antagonism for the Muslims apart, the Portuguese policy of conversion to Christianity made Hindus also resentful"
824, Their dishonest trade practices also evoked a strong reaction
825, The Portuguese earned notoriety as sea pirates
826, Their arrogance and violence brought them the animosity of the rulers of small states and the imperial Mughals as well
827, The discovery of Brazil diverted colonising activities of Portugal to the West
828," The union of the two kingdoms of Spain and Portugal in 158081, dragging the smaller kingdom into Spain's wars with England and Holland, badly affected Portuguese monopoly of trade in India"
829, The earlier monopoly of knowledge of the sea route View The Portuguese entered India with the sword in one hand and the crucifix in the other
830," finding much gold, they laid aside the crucifix to fill their pockets, and not being able to hold them up with one hand, they were grown so heavy, they dropped the sword, too"
831," being found in this posture by those who came after, they were easily overcome"
832," Alfonso de Souza, the Portuguese Governor in India (154245)  Portuguese Rise and Fall 1498: Arrival of VascodaGama at Calicut and his grand reception by the local king, Zamorin"
833,Establishment of the first Portuguese fort at Cochin
834,  Establishment of the second Portuguese fort at Cannanore
835,"  Defeat of the combined fleet of Gujarat, Egypt and Zamorin by the Portuguese governor Francisco Almeida"
836,"Alfonso Albuquerque, the Portuguese governor, captures Goa from Bijapur"
837,Declaration of Goa as the Portuguese capital
838, Subjugation of Diu
839,The Portuguese capture Daman
840,Ouster of the Portuguese by the Dutch from Southeast Asia
841, Loss of Surat to the English
842,The Dutch win all Portuguese forts on the Malabar coast to oust the Portuguese from India
843," As new trading communities from Europe arrived in India, there began a fierce rivalry among them"
844," In this struggle, the Portuguese had to give way to the more powerful and enterprising competitors"
845," The Dutch and the English had greater resources and more compulsions to expand overseas, and they overcame the Portuguese resistance"
846," One by one, the Portuguese possessions fell to its opponents"
847, Goa which remained with the Portuguese had lost its importance as a port after the fall of the Vijayanagara empire and soon it did not matter in whose possession it was
848," The spice trade came under the control of the Dutch, and Goa was superseded by Brazil as the economic centre of the overseas empire of Portugal"
849," In 1683, after two naval assaults, the Marathas invaded Goa"
850,"  Significance of the Portuguese Most historians have observed that the coming of the Portuguese not only initiated what might be called the    38      A Brief History of Modern India  European era, it marked the emergence of naval power"
851," The Cholas, among others, had been a naval power, but it was now for the first time a foreign power had come to India by way of the sea"
852," The Portuguese ships carried cannon, and this was the first step in gaining monopoly over tradewith the threat or actual use of force"
853," The Portuguese declared their intention to abide by no rules except their own, and they were intent on getting a decisive advantage over the Indians and over the Indian Ocean trading system"
854," In the Malabar of the sixteenth century, the Portuguese showed military innovation in their use of body armour, matchlock men, and guns landed from the ships"
855," The Portuguese may have contributed by example to the Mughal use of field guns, and the'artillery of the stirrup'"
856," However, an important military contribution made by the Portuguese onshore was the system of drilling groups of infantry, on the Spanish model, introduced in the 1630s as a counter to Dutch pressure"
857," The practice was adopted first by the French and English, and later taken up by the Marathas and Sikhs, and such armies of sepoys became new tools of empire in India"
858, The Portuguese were masters of improved techniques at sea
859," Their multidecked ships were heavily constructed, designed as they were to ride out Atlantic gales rather than run before the regular monsoons"
860, Their use of castled prow and stern was a noteworthy method by which to repel or launch boarding parties
861, Indian builders adapted both to their own use
862," However, the Portuguese skill at organisationas in the creation of royal arsenals and dockyards and the maintenance of a regular system of pilots and mapping and pitting state forces against private merchant shippingwas even more noteworthy"
863,"The Mughals and Marathas may certainly have learnt from the Portuguese but the more certain heirs of this knowledge were other Europeans, especially the Dutch and English, in Asia"
864," In India, the memory of religious persecution and    cruelty detracts from the other contributions made by the Portuguese in the cultural field"
865," However, it cannot be forgotten that the missionaries and the Church were also teachers and patrons in India of the arts of the painter, carver, and sculptor"
866," As in music, they were the interpreters, not just of Portuguese, but of European art to India"
867," The art of the silversmith and goldsmith flourished at Goa, and the place became a centre of elaborate filigree work, fretted foliage work and metal work embedding jewels"
868," However, though the interior of churches built under the Portuguese have plenty of woodwork and sculpture and sometimes painted ceilings, they are generally simple in their architectural plan"
869,  The Dutch Commercial enterprise led the Dutch to undertake voyages to the East
870, Cornelis de Houtman was the first Dutchman to reach Sumatra and Bantam in 1596
871," In 1602, the StatesGeneral of the Netherlands amalgamated many trading companies into the East India Company of the Netherlands"
872," This company was also empowered to carry on war, to conclude treaties, to take possession of territory and to erect fortresses"
873,"  Dutch Settlements After their arrival in India, the Dutch founded their first factory in Masulipatnam (in Andhra) in 1605"
874, They went on to establish trading centres at different parts of India and thus became a threat to the Portuguese
875, They captured Nagapatam near Madras (Chennai) from the Portuguese and made it their main stronghold in South India
876," The Dutch established factories on the Coromandel coast, in Gujarat, Uttar Pradesh, Bengal and Bihar"
877," In 1609, they opened a factory in Pulicat, north of Madras"
878," Their other principal factories in India were at Surat (1616), Bimlipatam (1641), Karaikal (1645), Chinsura (1653), Baranagar, Kasimbazar (near Murshidabad), Balasore, Patna, Nagapatam (1658) and Cochin (1663)"
879," Participating in the redistributive or carrying trade, they brought to the islands of the Far East various articles and merchandise from India"
880," They carried indigo manufactured in the Yamuna valley and Central India, textiles and silk from Bengal, Gujarat and the Coromandel, saltpetre from Bihar and opium and rice from the Ganga valley"
881,"  AngloDutch Rivalry The English were also at this time rising to prominence in the Eastern trade, and this posed a serious challenge to the commercial interests of the Dutch"
882, Commercial rivalry soon turned into bloody warfare
883," The climax of the enmity between the Dutch and the English in the East was reached at Amboyna (a place in presentday Indonesia, which the Dutch had captured from the Portuguese in 1605) where they massacred ten Englishmen and nine Japanese in 1623"
884, This incident further intensified the rivalry between the two European companies
885," After prolonged warfare, both the parties came to a compromise in 1667 by which the British agreed to withdraw all their claims on Indonesia, and the Dutch retired from India to concentrate on their more View The Dutch rivalry with the English, during the seventeenth century, was more bitter than that of the Portuguese"
886," The policy of the Dutch in the East was influenced by two motives: one was to take revenge on Catholic Spain, the foe of their independence, and her ally Portugal, and the other was to colonise and establish settlements in the East Indies with a view to monopolising commerce in that region"
887, They gained their first object by the gradual decline of Portuguese influence
888, The realisation of their second object brought them into bitter competition with the English
889, They monopolised the trade in black pepper and spices
890," The most important Indian commodities the Dutch traded in were silk, cotton, indigo, rice and opium"
891,  Decline of the Dutch in India The Dutch got drawn into the trade of the Malay Archipelago
892," Further, in the third AngloDutch War (167274), communications between Surat and the new English settlement of Bombay got cut due to which three homebound English ships were captured in the Bay of Bengal by the Dutch forces"
893," The retaliation by the English resulted in the defeat of the Dutch, in the battle of Hooghly (November 1759), which dealt a crushing blow to Dutch ambitions in India"
894, The Dutch were not much interested in empire building in India
895, their concerns were trade
896," In any case, their main commercial interest lay in the Spice Islands of Indonesia from where they earned a huge profit through business"
897,"  The English Charter of Queen Elizabeth I Francis Drake's voyage around the world in 1580 and the English victory over the Spanish Armada in 1588 generated a new sense of enterprise in the British, encouraging sailors to venture out to the East"
898," As the knowledge grew of the high profits earned by the Portuguese in Eastern trade, English traders too wanted a share"
899," So in 1599, a group of English merchants calling themselves the'Merchant Adventurers' formed a company"
900," On December 31, 1600, Queen Elizabeth I issued a charter with rights of exclusive trading to the company named the'Governor and Company of Merchants of London trading into the East Indies'"
901," Initially, a monopoly of fifteen years was granted, which in May 1609 was extended indefinitely by a fresh charter"
902," As the Dutch were already concentrating more on the East  Indies, the English turned to India in search of textiles and other commodities of trade"
903,  Progress of the English Company Foothold in West and South Captain Hawkins arrived in the court of Jahangir in April 1609 itself
904," But the mission to establish a factory at Surat didn't succeed due to opposition from the Portuguese, and Hawkins left Agra in November 1611"
905," In 1611, the English had started trading at Masulipatnam on the southeastern coast of India and later established a factory there in 1616"
906, It was in 1612 that Captain Thomas Best defeated the Portuguese in the sea off Surat
907, An impressed Jahangir granted permission to the English in early 1613 to establish a factory at Surat under Thomas Aldworth
908," In 1615, Sir Thomas Roe came as an accredited ambassador of James I to the court of Jahangir, staying on there till February 1619"
909," Though he was unsuccessful in concluding a commercial treaty with the Mughal emperor, he was able to secure a number of privileges, including permission to set up factories at Agra, Ahmedabad and Broach"
910, The English company did not have a smooth progress
911, It had to contend with the Portuguese and the Dutch in the beginning
912, But the changing situation helped them and turned things in their favour
913, Bombay had been gifted to King Charles II by the King of Portugal as dowry when Charles married the Portuguese princess Catherine in 1662
914, Bombay was given over to the East India Company on an annual payment of ten pounds only in 1668
915, Later Bombay was made the headquarters by shifting the seat of the Western Presidency from Surat to Bombay in 1687
916, So there was tacit peace between the English and the Portuguese now
917, There was also an AngloDutch compromise as mentioned earlier by which the Dutch agreed not to interfere with the English Company's trade in India
918, Thus the English were rid of two archrivals in India
919,The English Company's position was improved by the'Golden Farman' issued to them by the Sultan of Golconda in 1632
920," On a payment of 500 pagodas a year, they earned the privilege of trading freely in the ports of Golconda"
921," A member of the Masulipatnam council, the British merchant Francis Day, in 1639 received from the ruler of Chandragiri permission to build a fortified factory at Madras which later became the Fort St"
922, George and replaced Masulipatnam as the headquarters of the English settlements in south India
923," Thereafter, the English extended their trading activities to the east and started factories at Hariharpur in the Mahanadi delta and at Balasore (in Odisha) in 1633"
924,"  Foothold in Bengal Bengal was then a large and rich province in India, advanced in trade and commerce"
925, Commercial and political control over Bengal naturally appeared an attractive proposition to the profitseeking English merchants
926, Bengal was also an important province of the Mughal empire
927," Shah Shuja, the subahdar of Bengal in 1651, allowed the English to trade in Bengal in return for an annual payment of Rs 3,000, in lieu of all duties"
928," Factories in Bengal were started at Hooghly (1651) and other places like Kasimbazar, Patna and Rajmahal"
929," Nevertheless, despite the privileges of the farmans, the Company's business was now and then obstructed by customs officers in the local checkposts who asked for payment of tolls"
930," In pursuance of its changed policy, the Company wanted to have a fortified settlement at Hooghly so that force could be used if necessary"
931," William Hedges, the first agent and governor of the Company in Bengal, appealed to Shayista Khan, the Mughal governor of Bengal in August 1682, for redressal of the grievance"
932," As nothing came out of the appeal, hostilities broke out between the English and the Mughals"
933," Four years later, Hooghly was sacked by the imperial Mughals in October 1686"
934," The English retaliated by capturing the imperial forts at Thana, raiding Hijli in east Midnapur and storming the Mughal fortifications at Balasore"
935," However, the English were forced to leave Hooghly and were sent to an unhealthy location at the mouth of the River Ganga"
936," After the Mughal raid on Hooghly, Job Charnock, a company agent, started negotiations with the Mughals so as to return to a place called Sutanuti"
937," Charnock signed a treaty with the Mughals in February 1690, and returned to Sutanuti in August 1690"
938," Thus, an English factory was established on February 10, 1691, the day an imperial farman was issued permitting the English to 'continue contentedly their trade in Bengal' on payment of Rs 3000 a year in lieu of all dues"
939," A zamindar in Bardhaman district, Sobha Singh, rebelled, subsequently giving the English the pretext they were looking for, to fortify their settlement at Sutanuti in 1696"
940," In 1698, the English succeeded in getting the permission to buy the zamindari of the three villages of Sutanuti, Gobindapur and Kalikata (Kalighat) from their owners on payment of Rs 1,200"
941, The fortified settlement was named Fort William in the year 1700 when it also became the seat of the eastern presidency (Calcutta) with Sir Charles Eyre as its first president
942,"  Farrukhsiyar's Farmans In 1715, an English mission led by John Surman to the court of the Mughal emperor Farrukhsiyar secured three famous farmans, giving the Company many valuable privileges in Bengal, Gujarat and Hyderabad"
943, The farmans thus obtained were regarded the Magna Carta of the Company
944," Their important terms were — In Bengal, the Company's imports and exports were exempted from additional customs duties excepting the annual payment of 3,000 rupees as settled earlier"
945,The Company was permitted to issue dastaks (passes) for the transportation of such goods
946,The East India Company was established
947, 1609 : William Hawkins arrived at Jahangir's court
948, 1611 : Captain Middleton obtained the permission of the Mughal governor of Surat to trade there
949, 1613 : A permanent factory of East India Company was established at Surat
950," 1615 : Sir Thomas Roe, the ambassador of King James I, arrived at Jahangir's court"
951," By 1618, the ambassador succeeded in obtaining two farmans (one each from the emperor and Prince Khurram) confirming free trade with exemption from inland tolls"
952, 1616 : The Company established its first factory in the south in Masulipatnam
953, 1632 : The Company got the golden farman from the Sultan of Golconda which ensured safety and prosperity of their trade
954," 1633 : The Company established its first factory in east India in Hariharpur, Balasore (Odisha)"
955, 1639 : The Company got the lease of Madras from a local king
956, 1651 : The Company was given permission to trade at Hooghly (Bengal)
957," 1662 : The British King, Charles II, was given Bombay as dowry for marrying a Portuguese princess (Catherine of Braganza)"
958, 1667 : Aurangzeb gave the English a farman for trade in Bengal
959," 1691 : The Company got the imperial order to continue their trade in Bengal in lieu of payment of Rs 3,000 a year"
960," 1717 : The Mughal emperor Farrukhsiyar issued a farman, called Magna Carta of the Company, giving the Company a large number of trade concessions"
961,The Company was permitted to rent more lands around Calcutta
962," In Hyderabad, the Company retained its existing privilege of freedom from duties in trade and had to pay the prevailing rent only for Madras"
963," In Surat, for an annual payment of 10,000 rupees, the East India Company was exempted from the levy of all duties"
964, It was decreed that the coins of the Company minted at Bombay were to have currency throughout the Mughal empire
965,"   Apparently, the English East India Company managed to earn a number of trading concessions in Bengal from the Mughal authority by means of flattery and diplomacy"
966, But the English had to vanquish the French before they could be rid of competitors and establish their complete sway over India
967,"  Merging of Two English Companies After the English revolution of 1688, the Whigs, with their enhanced influence, opposed the monopoly of the East India Company"
968, Thus a rival company was formed which deputed Sir William Norris as its ambassador to the court of Aurangzeb (January 1701April 1702) to gain trading privileges for itself
969," The new company, however, proved a failure"
970," Under pressure from the Crown and the Parliament, the two companies were amalgamated in 1708 under the title of'United Company of Merchants of England Trading to the East Indies'"
971, This was the East India Companyfrom 1708 to 1873which was to establish British political power in India
972,"  The French Foundation of French Centres in India Although the French harboured a wish to engage in the commerce of the East since the opening years of the sixteenth century, their appearance on the Indian coasts was late"
973," Indeed, the French were the last Europeans to come to India with the purpose of trade"
974," During the reign of Louis XIV, the king's famous minister Colbert laid the foundation of the Compagnie des Indes Orientales (French East India Company) in 1664, in which the king also took a deep interest"
975, The Compagnie des Indes Orientales was granted a 50year monopoly on French trade in the Indian and Pacific Oceans
976," The French king also granted the company a concession in perpetuity for the island of Madagascar, as well as any        Advent of the Europeans in India  47  other territories it could conquer"
977, The Company spent a lot of its money and resources in trying to revive the colonies of Madagascar but without any success
978," Then in 1667, Francois Caron headed an expedition to India, setting up a factory in Surat"
979," Mercara, a Persian who accompanied Caron, founded another French factory in Masulipatnam in 1669 after obtaining a patent from the Sultan of Golconda"
980," In 1673, the French obtained permission from Shaista Khan, the Mughal Subahdar of Bengal, to establish a township at Chandernagore near Calcutta"
981,"  PondicherryNerve Centre of French Power in India In 1673, Sher Khan Lodi, the governor of Valikondapuram (under the Bijapur Sultan), granted Francois Martin, the director of the Masulipatnam factory, a site for a settlement"
982, Pondicherry was founded in 1674
983," In the same year, Francois Martin replaced Caron as the French governor"
984," The French company established its factories in other parts of India also, particularly in the coastal regions"
985," Mahe, Karaikal, Balasore and Qasim Bazar were a few important trading centres of the French East India Company"
986," After taking charge of Pondicherry in 1674, Francois Martin developed it as a place of importance"
987," It was indeed, the stronghold of the French in India"
988,  Early Setbacks to the French East India Company The French position in India was badly affected with the outbreak of war between the Dutch and the French
989," Bolstered by their alliance with the English since the Revolution of 1688, the Dutch captured Pondicherry in 1693"
990," Although the Treaty of Ryswick concluded in September 1697 restored Pondicherry to the French, the Dutch garrison held on to it for two more years"
991," Once again, under Francois Martin's able guidance Pondicherry flourished and turned out to be the most important settlement of the French in India"
992, Again there  was a bad turn in the fortunes of the French company in India when the War of Spanish Succession broke out in Europe
993," Consequent to this, they had to abandon their factories at Surat, Masulipatnam and Bantam in the early 18th century"
994," The French in India had another setback when Francois Martin died on December 31, 1706"
995,"  Reorganisation of the French Company In 1720, the French company was reorganised as the'Perpetual Company of the Indies' which revived its strength"
996," This was further enhanced by the stewardship of two active and wise governors, Lenoir and Dumas, between 1720 and 1742"
997," Further, the French India was backed by the French possession of Mauritius and Reunion in the southern Indian Ocean"
998,"  The AngloFrench Struggle for Supremacy: the Carnatic Wars Background of Rivalry Though the British and the French came to India for trading purposes, they were ultimately drawn into the politics of India"
999, Both had visions of establishing political power over the region
1000, The AngloFrench rivalry in India reflected the traditional rivalry of England and France throughout their histories
1001, it began with the outbreak of the Austrian War of Succession and ended with the conclusion of the Seven Years War
1002," Specifically in India, the rivalry, in the form of three Carnatic wars, decided once for all that the English and not the French were to become masters of India"
1003," In 1740, the political situation in south India was uncertain and confused"
1004, Nizam Asaf Jah of Hyderabad was old and fully engaged in battling the Marathas in the western Deccan while his subordinates were speculating upon the consequences of his death
1005, To the south of his kingdom lay the Coromandel coast without any strong ruler to maintain a balance of power
1006," Instead, there was the remnant of the old Vijayanagara empire in interior Mysore, Cochin and      Advent of the Europeans in India    49  Travancore in the Malabar coast, and on the east the small states of Madura (Madurai), Tanjore (Thanjavur) and Trichinopoly (Thiruchirapally)"
1007, The decline of Hyderabad was the signal for the end of Muslim expansionism and the English adventurers got their plans ready
1008," Also, there was the Maratha kingdom of Tanjore, providing the Peshwa of Pune an excuse for interference whenever he pleased"
1009,  First Carnatic War (174048) Background Carnatic was the name given by the Europeans to the Coromandel coast and its hinterland
1010, The First Carnatic War was an extension of the AngloFrench War in Europe which was caused by the Austrian War of Succession
1011," Immediate Cause Although France, conscious of its relatively weaker position in India, did not favour an extension of hostilities to India, the English navy under Barnet seized some French ships to provoke France"
1012," France retaliated by seizing Madras in 1746 with the help of the fleet from Mauritius, the Isle of France, under Admiral La Bourdonnais, the French governor of Mauritius"
1013, Thus began the first Carnatic War
1014, Result The First Carnatic War ended in 1748 when the Treaty of AixLa Chapelle was signed bringing the Austrian War of Succession to a conclusion
1015," Under the terms of this treaty, Madras was handed back to the English, and the French, in turn, got their territories in North America"
1016, Significance The First Carnatic War is remembered for the Battle of St
1017," Thome (in Madras) fought between the French forces and the forces of Anwaruddin, the Nawab of Carnatic, to whom the English appealed for help"
1018, A small French army under Captain Paradise defeated the strong Indian army under Mahfuz Khan at St
1019, Thome on the banks of the River Adyar
1020, This was an eyeopener for the Europeans in India: it revealed that even a small disciplined army could easily defeat a much larger Indian army
1021," Further, this war adequately brought out the importance of naval force in the AngloFrench conflict in the Deccan"
1022,The background for the Second Carnatic War was provided by rivalry in India
1023," Dupleix, the French governor who had successfully led the French forces in the First Carnatic War, sought to increase his power and French political influence in southern India by interfering in local dynastic disputes to defeat the English"
1024," Immediate Cause The opportunity was provided by the death of NizamulMulk, the founder of the independent kingdom of Hyderabad, in 1748, and the release of Chanda Sahib, the soninlaw of Dost Ali, the Nawab of Carnatic, by the Marathas in the same year"
1025," The accession of Nasir Jang, the son of the Nizam, to the throne of Hyderabad was opposed by Muzaffar Jang, the grandson of the Nawab, who laid claim to the throne saying that the Mughal Emperor had appointed him as the governor of the Carnatic"
